Date/Time,Latitude,Longitude,PPPP [hPa],TTT grad [K],RH [%],Height [m],Pitch [deg],Roll [deg],Yaw [deg],SWD [W/m**2] (raw),SWU [W/m**2] (raw),LWD [W/m**2] (raw),LWU [W/m**2] (raw),SWD [W/m**2] (corrected),SWU [W/m**2] (corrected),LWD [W/m**2] (corrected),LWU [W/m**2] (corrected),Flag
2018-09-10 19:17:00,88.65386,45.83564,1028.085,262.04,93.3,2.3,-0.34,-0.77,72.73,29.45,18.87,254.43,269.96,29.67,18.6,252.26,270.91,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.067,262.04,93.3,2.4,-0.53,-0.55,72.03,28.99,18.87,254.17,270.62,29.51,18.63,252.09,270.84,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.067,262.04,93.3,2.4,-0.52,-0.58,71.32,29.38,18.87,254.26,271.19,29.31,18.67,251.96,270.8,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.07,262.04,93.3,2.4,-0.45,-0.6,70.65,29.45,18.8,254.41,271.15,29.09,18.71,251.83,270.76,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.059,262.04,93.3,2.5,-0.61,-0.24,70.04,29.58,18.8,253.94,270.54,28.87,18.75,251.69,270.68,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.087,262.04,93.3,2.3,-0.45,-0.5,69.42,29.45,18.94,253.88,270.65,28.68,18.8,251.61,270.68,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.083,262.04,93.3,2.3,-0.17,-0.38,68.78,29.45,18.87,253.71,270.27,28.52,18.86,251.59,270.6,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.079,262.04,93.3,2.3,-0.19,-0.41,68.17,29.38,18.87,253.99,270.23,28.43,18.93,251.52,270.41,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.089,262.04,93.3,2.2,-0.29,-0.46,67.55,29.19,18.87,253.68,270.38,28.4,19.02,251.46,270.16,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.11,262.04,93.3,2.1,-0.28,-0.46,66.92,28.99,18.87,253.88,270.1,28.45,19.13,251.48,269.95,0.0
2018-09-10 19:17:00,88.65386,45.83564,1028.094,262.04,93.3,2.2,-0.22,-0.55,66.33,29.06,18.87,253.83,270.24,28.56,19.25,251.57,269.8,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.079,262.04,93.3,2.3,-0.34,-0.58,65.77,28.99,18.73,253.71,269.39,28.71,19.4,251.62,269.58,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.062,262.04,93.3,2.4,-0.41,-0.62,65.21,29.25,18.94,252.51,268.83,28.9,19.55,251.69,269.4,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.05,262.04,93.3,2.5,-0.51,-0.62,64.66,29.32,18.66,252.69,268.98,29.09,19.72,251.69,269.19,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.048,262.04,93.3,2.5,-0.62,-0.6,64.15,29.25,19.07,253.7,269.47,29.27,19.88,251.66,268.99,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.054,262.04,93.3,2.5,-0.64,-0.62,63.66,29.12,19.07,253.91,269.62,29.42,20.05,251.65,268.84,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.053,262.04,93.3,2.5,-0.69,-0.61,63.23,29.38,18.8,253.52,268.65,29.52,20.21,251.57,268.68,0.0
2018-09-10 19:17:00,88.65386,45.83565,1028.061,262.04,93.3,2.4,-0.77,-0.53,62.83,28.86,18.94,253.98,268.62,29.55,20.35,251.55,268.61,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.052,262.04,93.3,2.5,-0.77,-0.53,62.45,29.25,19.07,253.7,268.39,29.51,20.47,251.61,268.56,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.035,262.04,93.3,2.6,-0.81,-0.57,62.12,29.19,19.07,253.44,268.25,29.42,20.58,251.63,268.47,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.05,262.04,93.3,2.5,-0.96,-0.56,61.83,29.25,19.07,253.92,268.54,29.26,20.68,251.58,268.36,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.041,262.04,93.3,2.6,-0.89,-0.53,61.5,29.19,19.21,253.37,268.5,29.07,20.76,251.55,268.33,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.024,262.04,93.3,2.7,-1.02,-0.47,61.22,29.45,19.21,253.98,268.67,28.86,20.84,251.61,268.42,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.015,262.04,93.3,2.8,-1.03,-0.43,60.97,29.25,19.28,253.41,268.1,28.66,20.93,251.63,268.51,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.011,262.04,93.3,2.8,-0.95,-0.48,60.74,29.38,19.14,252.98,267.4,28.47,21.03,251.69,268.6,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.005,262.04,93.3,2.9,-0.81,-0.57,60.54,28.99,19.28,252.47,267.14,28.33,21.15,251.76,268.69,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.006,262.04,93.3,2.9,-0.48,-0.57,60.36,29.19,19.35,252.89,268.68,28.25,21.3,251.77,268.76,0.0
2018-09-10 19:17:00,88.65386,45.83566,1028.003,262.04,93.3,2.9,-0.58,-0.57,60.24,29.06,19.35,253.72,269.17,28.22,21.47,251.84,268.83,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.972,262.04,93.3,3.1,-0.66,-0.49,60.18,29.06,19.56,253.51,269.03,28.25,21.66,251.76,268.85,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.95,262.04,93.3,3.3,-0.59,-0.35,60.11,29.25,19.49,253.89,268.97,28.34,21.86,251.72,268.93,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.947,262.04,93.3,3.3,-0.5,-0.25,60.07,29.12,19.63,253.78,269.1,28.46,22.08,251.78,269.03,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.929,262.04,93.3,3.4,-0.56,-0.29,60.13,28.99,19.56,253.53,269.04,28.61,22.29,251.82,269.14,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.973,262.04,93.3,3.1,-0.23,-0.22,60.18,28.86,19.49,253.97,269.0,28.75,22.5,251.8,269.36,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.959,262.04,93.3,3.2,-0.35,-0.26,60.24,28.93,19.7,252.8,268.76,28.88,22.7,251.72,269.47,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.937,262.04,93.3,3.4,-0.19,-0.11,60.32,28.99,19.97,253.21,268.91,28.97,22.87,251.64,269.61,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.936,262.04,93.3,3.4,-0.03,0.03,60.43,29.19,19.83,253.93,268.88,29.02,23.02,251.56,269.75,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.963,262.04,93.3,3.2,-0.14,-0.04,60.6,28.99,20.04,253.61,269.02,29.03,23.16,251.5,269.9,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.917,262.03,93.2,3.5,0.19,0.09,60.74,28.93,20.11,253.39,271.35,29.0,23.28,251.46,270.05,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.908,262.04,93.2,3.6,0.14,0.2,60.91,29.19,20.11,252.89,270.82,28.93,23.39,251.34,270.15,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.888,262.04,93.2,3.7,0.38,0.24,61.08,28.99,20.18,252.4,270.86,28.85,23.49,251.34,270.33,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.873,262.04,93.2,3.8,0.56,0.37,61.3,28.99,20.39,252.51,271.11,28.76,23.59,251.27,270.48,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.874,262.04,93.2,3.8,0.54,0.47,61.55,29.32,20.39,252.58,270.8,28.68,23.69,251.15,270.59,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.87,262.03,93.2,3.9,0.44,0.3,61.77,28.93,20.52,252.47,270.8,28.64,23.79,251.06,270.68,0.0
2018-09-10 19:17:00,88.65386,45.83566,1027.856,262.03,93.2,4.0,0.57,0.25,62.08,28.99,20.46,251.92,269.97,28.62,23.9,250.95,270.45,0.0
2018-09-10 19:17:00,88.65386,45.83565,1027.858,262.02,93.2,4.0,0.13,0.2,62.47,28.93,20.52,251.99,270.34,28.64,24.0,250.86,270.42,0.0
2018-09-10 19:17:00,88.65386,45.83565,1027.865,262.02,93.2,3.9,0.17,0.11,62.86,29.06,20.73,251.93,270.48,28.7,24.1,250.79,270.33,0.0
2018-09-10 19:17:00,88.65386,45.83565,1027.855,262.03,93.2,4.0,0.29,0.05,63.25,28.73,20.8,251.96,269.96,28.77,24.19,250.75,270.22,0.0
2018-09-10 19:17:00,88.65386,45.83565,1027.822,262.02,93.2,4.2,0.03,0.05,63.64,29.06,20.8,252.47,269.97,28.87,24.28,250.75,270.12,0.0
2018-09-10 19:17:00,88.65386,45.83565,1027.83,262.02,93.2,4.2,0.51,0.06,63.97,28.99,21.08,251.67,269.04,28.97,24.35,250.74,269.96,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.84,262.02,93.2,4.1,0.47,0.16,64.37,29.06,21.15,251.72,270.69,29.06,24.42,250.79,269.87,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.827,262.02,93.2,4.2,0.56,0.16,64.82,28.47,21.08,251.95,270.33,29.14,24.49,250.83,269.7,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.811,262.01,93.2,4.3,0.68,0.13,65.31,29.19,21.28,252.19,270.02,29.19,24.56,250.89,269.55,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.82,262.02,93.2,4.2,0.69,0.15,65.8,29.19,21.28,252.39,270.35,29.22,24.63,250.94,269.45,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.779,262.02,93.2,4.5,0.71,0.19,66.3,28.86,21.28,252.26,269.66,29.21,24.7,250.93,269.33,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.774,262.02,93.2,4.6,1.01,0.31,66.81,29.12,21.36,252.45,269.57,29.19,24.78,251.0,269.32,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.754,262.02,93.2,4.7,1.19,0.59,67.32,28.99,21.7,252.48,269.43,29.14,24.86,251.02,269.08,0.0
2018-09-10 19:17:00,88.65386,45.83564,1027.762,262.02,93.2,4.7,1.22,0.52,67.85,29.06,21.49,252.66,269.56,29.07,24.94,251.03,268.93,0.0
2018-09-10 19:17:00,88.65386,45.83563,1027.78,262.01,93.2,4.5,1.09,0.35,68.4,28.99,21.7,252.4,269.48,28.98,25.01,250.99,268.85,0.0
2018-09-10 19:17:00,88.65386,45.83563,1027.736,262.0,93.2,4.9,0.87,0.47,68.99,28.99,21.91,251.99,269.41,28.89,25.07,250.93,268.76,0.0
2018-09-10 19:17:00,88.65386,45.83563,1027.729,262.0,93.2,4.9,1.09,0.25,69.56,28.86,21.84,252.64,269.38,28.79,25.12,250.94,268.82,0.0
2018-09-10 19:17:00,88.65386,45.83563,1027.703,261.99,93.1,5.1,1.02,0.37,70.24,28.99,22.05,252.2,268.41,28.69,25.15,250.93,268.82,0.0
2018-09-10 19:17:00,88.65386,45.83563,1027.707,261.99,93.1,5.1,1.28,0.12,70.85,29.06,21.98,252.11,269.01,28.59,25.18,250.95,268.86,0.0
2018-09-10 19:17:00,88.65386,45.83563,1027.733,262.0,93.1,4.9,1.26,-0.03,71.49,28.99,21.98,251.8,269.63,28.51,25.2,250.97,268.9,0.0
2018-09-10 19:17:00,88.65386,45.83562,1027.729,262.0,93.1,4.9,0.82,0.15,72.2,29.06,22.18,251.99,269.65,28.45,25.22,250.97,268.89,0.0
2018-09-10 19:17:00,88.65386,45.83562,1027.674,262.0,93.1,5.3,1.22,-0.07,72.82,28.8,22.32,252.64,270.21,28.42,25.25,250.97,268.82,0.0
2018-09-10 19:17:00,88.65386,45.83562,1027.682,262.0,93.1,5.3,0.15,-0.07,73.6,29.12,22.32,252.31,269.69,28.42,25.3,250.87,268.79,0.0
2018-09-10 19:17:00,88.65386,45.83562,1027.687,262.0,93.1,5.2,0.78,-0.09,74.23,28.86,22.53,252.74,270.12,28.45,25.37,250.85,268.85,0.0
2018-09-10 19:17:00,88.65386,45.83562,1027.685,262.0,93.1,5.2,0.92,-0.11,74.91,29.12,22.6,252.62,269.73,28.52,25.46,250.85,268.8,0.0
2018-09-10 19:17:00,88.65386,45.83561,1027.681,261.99,93.1,5.3,0.67,-0.09,75.62,28.86,22.39,252.15,269.17,28.61,25.57,250.73,268.67,0.0
2018-09-10 19:17:00,88.65386,45.83561,1027.686,261.99,93.1,5.2,1.75,-0.03,76.26,28.66,22.53,251.85,268.48,28.72,25.68,250.4,268.5,0.0
2018-09-10 19:17:00,88.65386,45.83561,1027.67,261.98,93.1,5.4,0.89,-0.1,77.04,28.93,22.53,250.96,269.08,28.83,25.79,250.1,268.3,0.0
2018-09-10 19:17:00,88.65386,45.83561,1027.63,261.98,93.1,5.7,1.06,-0.13,77.78,28.8,22.81,251.96,268.74,28.94,25.88,249.88,268.19,0.0
2018-09-10 19:17:00,88.65386,45.83561,1027.59,261.98,93.1,6.0,1.17,-0.15,78.56,28.99,22.94,252.07,268.58,29.01,25.93,249.64,268.1,0.0
2018-09-10 19:17:00,88.65386,45.8356,1027.574,261.97,93.1,6.1,1.07,-0.19,79.37,28.6,22.94,250.71,268.27,29.06,25.95,249.4,268.04,0.0
2018-09-10 19:17:00,88.65386,45.8356,1027.592,261.98,93.1,5.9,1.41,-0.24,80.17,28.8,23.01,248.7,268.15,29.05,25.93,249.2,268.05,0.0
2018-09-10 19:17:00,88.65386,45.8356,1027.611,261.97,93.1,5.8,1.57,-0.21,81.02,29.06,23.15,249.72,268.4,29.0,25.88,249.07,268.16,0.0
2018-09-10 19:17:00,88.65386,45.8356,1027.621,261.98,93.1,5.7,1.31,-0.29,81.91,28.99,23.15,250.06,268.95,28.91,25.79,249.04,268.22,0.0
2018-09-10 19:17:00,88.65386,45.83559,1027.606,261.98,93.1,5.8,1.47,-0.29,82.77,29.19,23.22,250.04,269.23,28.78,25.7,248.93,268.3,0.0
2018-09-10 19:17:00,88.65386,45.83559,1027.581,261.97,93.1,6.0,1.61,-0.23,83.68,28.99,23.15,249.72,269.16,28.63,25.62,248.81,268.4,0.0
2018-09-10 19:17:00,88.65386,45.83559,1027.59,261.98,93.1,6.0,1.11,-0.21,84.68,28.93,23.43,249.66,269.01,28.48,25.55,248.75,268.51,0.0
2018-09-10 19:17:00,88.65386,45.83559,1027.583,261.97,93.1,6.0,1.64,-0.34,85.66,28.73,23.36,250.04,268.77,28.34,25.53,248.8,268.62,0.0
2018-09-10 19:17:00,88.65386,45.83558,1027.577,261.97,93.1,6.0,0.89,-0.5,86.76,28.86,23.5,250.36,269.19,28.22,25.54,248.79,268.65,0.0
2018-09-10 19:17:00,88.65386,45.83558,1027.568,261.97,93.1,6.1,0.88,-0.53,87.84,28.73,23.7,250.18,268.96,28.15,25.6,248.74,268.65,0.0
2018-09-10 19:17:00,88.65386,45.83558,1027.567,261.98,93.1,6.1,0.92,-0.54,88.96,28.99,23.36,249.94,269.05,28.13,25.69,248.7,268.61,0.0
2018-09-10 19:17:00,88.65386,45.83558,1027.582,261.98,93.1,6.0,0.51,-0.58,90.09,28.8,23.64,250.0,268.77,28.15,25.8,248.68,268.53,0.0
2018-09-10 19:17:00,88.65386,45.83558,1027.564,261.98,93.1,6.1,1.09,-0.4,91.18,28.73,23.57,249.21,268.65,28.22,25.92,248.64,268.41,0.0
2018-09-10 19:17:00,88.65386,45.83557,1027.538,261.98,93.1,6.3,0.48,-0.6,92.38,28.8,23.57,249.63,268.68,28.32,26.01,248.62,268.29,0.0
2018-09-10 19:17:00,88.65386,45.83557,1027.527,261.98,93.1,6.4,0.65,-0.66,93.56,28.86,23.7,250.22,268.98,28.44,26.07,248.55,268.14,0.0
2018-09-10 19:17:00,88.65386,45.83557,1027.53,261.98,93.1,6.4,0.82,-0.65,94.78,28.53,23.84,250.5,269.13,28.57,26.09,248.56,268.02,0.0
2018-09-10 19:17:00,88.65386,45.83556,1027.53,261.98,93.1,6.4,0.93,-0.59,95.99,28.86,23.84,250.36,268.96,28.7,26.06,248.6,267.93,0.0
2018-09-10 19:17:00,88.65387,45.83556,1027.517,261.98,93.1,6.5,1.14,-0.46,97.24,28.86,23.91,250.18,268.56,28.8,26.0,248.69,267.87,0.0
2018-09-10 19:17:00,88.65387,45.83556,1027.521,261.97,93.1,6.5,1.6,-0.32,98.46,28.6,24.05,250.31,268.77,28.86,25.91,248.9,267.82,0.0
2018-09-10 19:17:00,88.65387,45.83555,1027.505,261.97,93.1,6.6,0.75,-0.61,99.8,28.86,24.05,250.1,268.59,28.89,25.8,248.95,267.66,0.0
2018-09-10 19:17:00,88.65387,45.83555,1027.514,261.97,93.1,6.5,0.86,-0.62,101.05,28.6,24.33,250.06,268.78,28.88,25.7,249.01,267.62,0.0
2018-09-10 19:17:00,88.65387,45.83555,1027.51,261.97,93.1,6.5,0.76,-0.65,102.39,28.86,24.05,250.49,268.71,28.82,25.63,249.02,267.62,0.0
2018-09-10 19:17:00,88.65387,45.83554,1027.473,261.96,93.1,6.8,0.37,-0.76,103.76,29.06,24.33,250.4,268.56,28.74,25.59,248.98,267.59,0.0
2018-09-10 19:17:00,88.65387,45.83554,1027.483,261.96,93.1,6.8,1.25,-0.68,105.01,28.53,24.19,250.83,268.48,28.64,25.6,248.93,267.59,0.0
2018-09-10 19:17:00,88.65387,45.83554,1027.443,261.96,93.0,7.0,0.25,-0.72,106.39,28.66,24.12,249.52,266.63,28.53,25.64,248.89,267.56,0.0
2018-09-10 19:17:00,88.65387,45.83553,1027.422,261.96,93.0,7.2,0.46,-1.0,107.67,28.86,24.05,249.93,268.19,28.43,25.73,248.93,267.64,0.0
2018-09-10 19:17:00,88.65387,45.83553,1027.419,261.96,93.1,7.2,0.56,-1.03,108.87,28.93,24.12,250.3,268.86,28.35,25.84,248.92,267.73,0.0
2018-09-10 19:17:00,88.65387,45.83552,1027.414,261.96,93.1,7.3,0.52,-0.95,110.09,28.66,24.33,249.75,267.93,28.31,25.97,248.85,267.82,0.0
2018-09-10 19:17:00,88.65387,45.83552,1027.384,261.96,93.1,7.5,0.98,-1.22,111.31,28.73,24.33,250.02,268.05,28.31,26.1,248.79,267.89,0.0
2018-09-10 19:17:00,88.65387,45.83552,1027.382,261.97,93.1,7.5,0.46,-0.87,112.57,28.6,24.4,250.36,268.04,28.34,26.22,248.79,267.99,0.0
2018-09-10 19:17:00,88.65387,45.83551,1027.372,261.97,93.1,7.6,0.46,-1.11,113.78,29.19,24.74,250.94,269.08,28.41,26.32,248.91,268.23,0.0
2018-09-10 19:17:00,88.65387,45.83551,1027.37,261.97,93.1,7.6,0.11,-0.98,115.01,28.53,24.46,250.38,269.3,28.5,26.4,249.08,268.25,0.0
2018-09-10 19:17:00,88.65387,45.83551,1027.386,261.97,93.1,7.5,-0.19,-0.91,116.23,28.53,24.53,249.6,269.29,28.59,26.45,249.29,268.25,0.0
2018-09-10 19:17:00,88.65387,45.8355,1027.411,261.97,93.1,7.3,-0.25,-1.03,117.41,28.53,24.46,249.27,269.0,28.68,26.48,249.52,268.32,0.0
2018-09-10 19:17:00,88.65387,45.8355,1027.409,261.98,93.1,7.3,-0.45,-0.74,118.6,28.6,24.53,249.9,269.08,28.74,26.49,249.7,268.36,0.0
2018-09-10 19:17:00,88.65387,45.8355,1027.356,261.97,93.1,7.7,-0.53,-0.81,119.7,28.8,24.81,250.3,269.61,28.78,26.48,249.77,268.39,0.0
2018-09-10 19:17:00,88.65387,45.83549,1027.347,261.97,93.1,7.8,-0.55,-0.59,120.76,28.86,24.95,250.97,268.76,28.77,26.45,249.78,268.37,0.0
2018-09-10 19:17:00,88.65387,45.83549,1027.344,261.97,93.1,7.8,-0.83,-0.57,121.76,28.6,24.81,251.5,268.79,28.73,26.41,249.78,268.29,0.0
2018-09-10 19:17:00,88.65387,45.83548,1027.316,261.97,93.0,8.0,-1.23,-0.61,122.7,28.53,24.6,251.33,269.16,28.67,26.37,249.82,268.23,0.0
2018-09-10 19:17:00,88.65387,45.83548,1027.275,261.97,93.0,8.3,-1.33,-0.27,123.47,28.73,24.67,251.08,268.69,28.58,26.32,249.87,268.25,0.0
2018-09-10 19:17:00,88.65387,45.83548,1027.3,261.97,93.0,8.1,-1.69,-0.48,124.14,28.99,24.95,250.63,268.4,28.5,26.28,249.82,268.28,0.0
2018-09-10 19:17:00,88.65387,45.83547,1027.295,261.96,93.0,8.1,-1.2,-0.36,124.69,28.8,25.09,250.64,268.93,28.43,26.24,249.8,268.34,0.0
2018-09-10 19:17:00,88.65387,45.83547,1027.311,261.96,93.0,8.0,-1.25,-0.27,125.19,28.86,24.95,250.41,268.42,28.38,26.21,249.74,268.46,0.0
2018-09-10 19:17:00,88.65387,45.83546,1027.316,261.96,93.0,8.0,-1.29,-0.24,125.61,28.4,24.88,250.32,268.23,28.36,26.19,249.67,268.58,0.0
2018-09-10 19:17:00,88.65387,45.83546,1027.267,261.95,93.0,8.4,-1.04,-0.17,125.93,28.66,25.02,250.48,268.91,28.37,26.2,249.63,268.69,0.0
2018-09-10 19:17:00,88.65387,45.83546,1027.306,261.95,93.0,8.1,-1.84,0.14,126.26,28.73,25.16,249.85,268.83,28.4,26.23,249.56,268.72,0.0
2018-09-10 19:17:00,88.65387,45.83545,1027.297,261.94,93.0,8.1,-1.31,0.17,126.39,28.8,25.16,250.51,269.08,28.44,26.29,249.51,268.78,0.0
2018-09-10 19:17:00,88.65387,45.83545,1027.272,261.94,93.0,8.3,-1.51,0.41,126.52,28.27,25.22,250.19,268.94,28.47,26.36,249.42,268.77,0.0
2018-09-10 19:17:00,88.65387,45.83544,1027.257,261.94,93.0,8.4,-1.53,0.45,126.6,28.53,25.16,250.41,269.2,28.48,26.45,249.34,268.75,0.0
2018-09-10 19:17:00,88.65387,45.83544,1027.256,261.94,93.0,8.4,-1.19,0.29,126.59,28.6,25.02,250.3,269.45,28.47,26.54,249.25,268.68,0.0
2018-09-10 19:17:00,88.65387,45.83543,1027.209,261.93,93.0,8.8,-1.4,0.64,126.39,28.66,24.95,249.59,268.38,28.44,26.63,249.12,268.49,0.0
2018-09-10 19:17:00,88.65387,45.83543,1027.201,261.94,93.0,8.8,-1.11,0.56,126.1,28.86,25.02,249.1,268.77,28.38,26.7,249.03,268.36,0.0
2018-09-10 19:17:00,88.65387,45.83542,1027.196,261.93,93.0,8.9,-1.32,0.77,125.77,28.8,25.29,249.05,268.72,28.32,26.74,248.84,268.21,0.0
2018-09-10 19:17:00,88.65387,45.83542,1027.188,261.93,93.0,8.9,-1.36,0.72,125.36,28.86,25.43,249.48,268.42,28.26,26.76,248.69,268.11,0.0
2018-09-10 19:17:00,88.65387,45.83541,1027.179,261.93,93.0,9.0,-1.23,0.66,124.88,28.47,25.43,249.4,268.12,28.23,26.75,248.53,268.02,0.0
2018-09-10 19:17:00,88.65387,45.8354,1027.168,261.93,93.0,9.1,-1.11,0.9,124.35,28.6,25.43,249.31,267.85,28.24,26.72,248.38,267.91,0.0
2018-09-10 19:17:00,88.65387,45.8354,1027.181,261.93,93.0,9.0,-0.84,0.62,123.75,28.34,25.57,249.42,268.08,28.3,26.67,248.38,267.91,0.0
2018-09-10 19:17:00,88.65387,45.83539,1027.149,261.93,93.0,9.2,-0.93,0.93,123.05,28.66,25.36,249.17,268.3,28.4,26.61,248.4,267.84,0.0
2018-09-10 19:17:00,88.65387,45.83538,1027.119,261.93,93.0,9.5,-1.07,0.92,122.29,28.4,25.64,249.5,268.28,28.53,26.56,248.47,267.8,0.0
2018-09-10 19:17:00,88.65387,45.83538,1027.108,261.93,93.0,9.5,-1.03,0.92,121.44,28.8,25.43,249.52,268.42,28.68,26.51,248.53,267.77,0.0
2018-09-10 19:17:00,88.65387,45.83537,1027.117,261.93,93.0,9.5,-0.89,1.06,120.53,28.53,25.43,249.52,268.18,28.83,26.47,248.56,267.76,0.0
2018-09-10 19:17:00,88.65387,45.83537,1027.103,261.93,93.0,9.6,-1.25,0.83,119.57,28.47,25.5,249.85,268.19,28.96,26.45,248.64,267.75,0.0
2018-09-10 19:17:00,88.65387,45.83536,1027.094,261.93,93.0,9.6,-0.5,0.88,118.48,28.6,25.43,249.77,267.58,29.04,26.43,248.65,267.6,0.0
2018-09-10 19:17:00,88.65387,45.83535,1027.076,261.93,93.0,9.8,-0.64,0.83,117.41,28.27,25.71,249.9,267.57,29.06,26.42,248.71,267.48,0.0
2018-09-10 19:17:00,88.65387,45.83535,1027.07,261.93,93.0,9.8,-0.57,0.78,116.29,28.66,25.57,249.85,267.55,29.02,26.4,248.72,267.31,0.0
2018-09-10 19:17:00,88.65387,45.83534,1027.077,261.94,93.0,9.8,-0.45,0.78,115.09,28.93,25.64,249.71,267.36,28.93,26.38,248.7,267.15,0.0
2018-09-10 19:17:00,88.65387,45.83533,1027.062,261.94,93.0,9.9,-1.02,0.79,113.9,28.8,25.71,249.92,267.49,28.79,26.35,248.7,267.03,0.0
2018-09-10 19:17:00,88.65387,45.83532,1027.029,261.94,93.0,10.1,-0.5,0.69,112.6,28.73,25.57,249.51,266.99,28.62,26.31,248.59,266.89,0.0
2018-09-10 19:17:00,88.65387,45.83532,1027.053,261.94,93.0,9.9,-0.94,0.86,111.3,28.66,25.78,249.78,267.67,28.45,26.27,248.56,266.84,0.0
2018-09-10 19:17:00,88.65387,45.83531,1027.064,261.94,93.0,9.9,-0.73,0.9,109.93,28.73,25.71,249.48,267.39,28.3,26.23,248.47,266.73,0.0
2018-09-10 19:17:00,88.65387,45.8353,1027.057,261.94,93.0,9.9,-0.69,0.87,108.51,28.27,25.85,249.45,267.47,28.17,26.2,248.43,266.66,0.0
2018-09-10 19:17:00,88.65387,45.8353,1027.059,261.94,93.0,9.9,-1.29,0.91,107.12,28.99,25.64,249.8,267.8,28.07,26.19,248.5,266.72,0.0
