Date/Time,Latitude,Longitude,PPPP [hPa],TTT grad [K],RH [%],Height [m],Pitch [deg],Roll [deg],Yaw [deg],SWD [W/m**2] (raw),SWU [W/m**2] (raw),LWD [W/m**2] (raw),LWU [W/m**2] (raw),SWD [W/m**2] (corrected),SWU [W/m**2] (corrected),LWD [W/m**2] (corrected),LWU [W/m**2] (corrected),Flag
2018-08-18 15:03:00,89.56584,38.42677,899.048,269.09,91.3,910.5,-1.39,0.7,-60.74,90.9,78.81,294.67,301.6,90.29,78.95,294.48,301.77,1.0
2018-08-18 15:03:00,89.56584,38.42669,899.099,269.09,91.3,910.0,-0.94,0.71,-60.36,92.34,78.74,294.39,301.69,90.83,78.86,294.46,301.71,1.0
2018-08-18 15:03:00,89.56584,38.4266,899.152,269.09,91.3,909.6,-0.67,0.8,-59.92,91.95,78.68,294.39,301.49,91.44,78.78,294.4,301.63,1.0
2018-08-18 15:03:00,89.56584,38.42652,899.133,269.09,91.3,909.8,-0.24,0.8,-59.78,91.3,78.88,294.48,301.78,92.05,78.71,294.33,301.54,1.0
2018-08-18 15:03:00,89.56584,38.42644,899.089,269.1,91.3,910.1,-0.21,0.66,-59.96,91.75,78.68,294.67,301.88,92.6,78.66,294.29,301.44,1.0
2018-08-18 15:03:00,89.56584,38.42636,899.098,269.09,91.3,910.1,-0.5,0.44,-60.34,92.21,78.88,294.39,301.58,93.03,78.63,294.29,301.35,1.0
2018-08-18 15:03:00,89.56584,38.42627,899.085,269.09,91.3,910.2,0.8,0.26,-60.82,92.02,78.68,294.55,301.37,93.33,78.62,294.3,301.28,1.0
2018-08-18 15:03:00,89.56584,38.42619,899.102,269.09,91.3,910.0,1.98,0.47,-60.99,90.64,78.74,293.92,301.77,93.48,78.63,294.32,301.24,1.0
2018-08-18 15:03:00,89.56584,38.4261,899.151,269.09,91.3,909.6,3.13,0.41,-61.3,91.56,78.68,293.85,301.69,93.51,78.65,294.36,301.24,1.0
2018-08-18 15:03:00,89.56584,38.42602,899.153,269.09,91.3,909.6,3.37,0.39,-61.63,91.69,78.74,294.2,301.49,93.45,78.68,294.42,301.27,1.0
2018-08-18 15:03:00,89.56584,38.42594,899.09,269.09,91.3,910.1,2.77,0.5,-61.93,92.93,78.74,294.4,301.78,93.34,78.72,294.46,301.33,1.0
2018-08-18 15:03:00,89.56583,38.42585,899.092,269.09,91.3,910.1,2.26,0.55,-62.2,92.8,78.74,294.58,301.79,93.22,78.76,294.47,301.4,1.0
2018-08-18 15:03:00,89.56583,38.42577,899.124,269.09,91.3,909.8,2.32,0.28,-62.33,91.49,78.81,294.39,301.68,93.13,78.8,294.52,301.47,1.0
2018-08-18 15:03:00,89.56583,38.42569,899.154,269.1,91.3,909.6,2.51,0.16,-62.63,91.95,78.74,294.57,301.59,93.09,78.84,294.6,301.53,1.0
